ISO3,Name,Status,Stay
ESP,Spain,Visa required,0
LKA,Sri Lanka,eVisa / Visa on arrival,30 days
SDN,Sudan,Visa required,0
SUR,Suriname,Visa not required,90 days
SWZ,Swaziland,Visa not required,30 days
SWE,Sweden,Visa required,0
CHE,Switzerland,Visa required,0
SYR,Syrian Arab Republic,Visa required,0
TJK,Tajikistan,Visa not required,Indefinite period
TZA,"Tanzania, United Republic of",eVisa / Visa on arrival,3 months
THA,Thailand,Visa not required,30 days
TLS,Timor-Leste,Visa on arrival,30 days
TGO,Togo,Visa on arrival,7 days
TON,Tonga,Visa on arrival,31 days
TTO,Trinidad and Tobago,Visa not required,90 days
TUN,Tunisia,Visa not required,3 months
TUR,Turkey,Visa not required,60 days
TKM,Turkmenistan,Visa required,0
TUV,Tuvalu,Visa on arrival,1 month
UGA,Uganda,eVisa,3 months
UKR,Ukraine,Visa required,0
ARE,United Arab Emirates,Visa not required,90 days
GBR,United Kingdom,Visa required,0
USA,United States,Visa required,0
URY,Uruguay,Visa not required,3 months
UZB,Uzbekistan,Visa not required,60 days
VUT,Vanuatu,Visa not required,90 days
VEN,"Venezuela, Bolivarian Republic o",Visa not required,90 days
VNM,Viet Nam,Visa not required,15 days
YEM,Yemen,Visa required,0
ZMB,Zambia,eVisa / Visa on arrival,90 days
ZWE,Zimbabwe,eVisa / Visa on arrival,3 months
LDNR,Disputed territories of Crimea and Donbas,Disputed,Disputed
